,circle_size,mean_iou,mean_f1
0,1.0,,0.2812927521488009
1,2.0,,0.36568623805031863
2,3.0,,0.45096059583880527
3,4.0,0.2587746571268848,0.4709561935168946
4,5.0,0.2644680055156382,0.4878144912686714
5,6.0,0.27798356945966574,0.5014140302410895
6,7.0,0.2799663725972505,0.5125250895525203
7,8.0,0.2749143184651296,0.5089034769754455
8,9.0,0.2676810102354042,0.5026253855266597
9,10.0,0.262534054363242,0.49478080009548275
10,11.0,0.24401529154197582,0.4729146085222658
11,12.0,0.24461118482721744,0.46731673545268976
12,13.0,0.23949301188544475,0.45819845422947275
13,14.0,0.23059800342427816,0.44380921384736777
14,15.0,0.2220646609624684,0.43546345973661177
15,16.0,0.21106870352625626,0.4160317129082535
16,17.0,0.20588439246637025,0.4045513669388753
17,18.0,0.1896485029057137,0.38102732301627634
18,19.0,0.17927008046299167,0.3566402282344522
19,20.0,0.16185264105900762,0.33549243988500194
20,21.0,0.15252184264351049,0.3115171725290112
21,22.0,0.14567234723806607,0.304368271655949
22,23.0,0.1366457992695578,0.2900060341114719
23,24.0,0.1354995118707679,0.28506361508008626
